ID;title;artist;year;audio_url
1;The Business;Tiësto;2020;audio/1.mp3
2;Of Monsters and Men - Little Talks (Carter Walsh Remix);NALYRO;2025;audio/2.mp3
3;No Broke Boys;Disco Lines;2025;audio/3.mp3
4;In My Mind;Dynoro;2018;audio/4.mp3
5;Animals;Martin Garrix;2013;audio/5.mp3
6;My House;Flo Rida;2015;audio/6.mp3
7;Down Under;Luude;2021;audio/7.mp3
8;Closer;The Chainsmokers;2016;audio/8.mp3
9;Hymn for the Weekend;Coldplay;2015;audio/9.mp3
10;More Than You Know;Axwell /\ Ingrosso;2017;audio/10.mp3
11;Work This Body;WALK THE MOON;2014;audio/11.mp3
12;Rude Boy;Rihanna;2009;audio/12.mp3
13;Girls Just Want to Have Fun;Cyndi Lauper;1983;audio/13.mp3
14;Addicted To You;Avicii;2013;audio/14.mp3
15;New Religion;Bebe Rexha;2026;audio/15.mp3
16;GIRL LIKE ME;Black Eyed Peas;2020;audio/16.mp3
17;Forget You;FAST BOY;2023;audio/17.mp3
18;Kids;MGMT;2007;audio/18.mp3
19;Dai Dai;Shakira;2026;audio/19.mp3
20;Titanium;David Guetta;2011;audio/20.mp3
21;Break Your Heart;Taio Cruz;2010;audio/21.mp3
22;Pitbull, Chris Brown - International Love X Taio Cruz, Ludacris - Break Your Heart (M?VO mashup);M?VO;2021;audio/22.mp3
23;BALLERN (3 FLASCHEN WODKA);Zensery;2025;audio/23.mp3
24;MR. MEYER;$OHO BANI;2023;audio/24.mp3
25;INZIDANCE;$OHO BANI;2022;audio/25.mp3
26;BASS IST GEIL;Filow;2026;audio/26.mp3
27;Man In Finance (G6 Trust Fund);Girl On Couch;2024;audio/27.mp3
28;WEISSER REDBULL;DJ TÖRKE;2026;audio/28.mp3
29;Bruttosozialprodukt 2025;NOISETIME;2025;audio/29.mp3
30;Sean Paul - She Doesn't Mind (Jesse Bloch Remix);Jesse Bloch;2018;audio/30.mp3
31;Spring;Mr. Polska;2026;audio/31.mp3
32;Eskalation;FiNCH ASOZiAL;2018;audio/32.mp3
33;EURODANCE;Tream;2023;audio/33.mp3
34;Gimme More;Britney Spears;2007;audio/34.mp3
35;KEiNE REGELN;FiNCH;2022;audio/35.mp3
36;MEIN SCHATZ;DJ TÖRKE;2026;audio/36.mp3
37;JAJA;TIEFBASSKOMMANDO;2025;audio/37.mp3
38;Roxana Tekk;AssiH;2025;audio/38.mp3
